subject,status,mcgill_code,mcgill_title,host_code,host_title,institution,country
MGCR,Equivalent,MGCR352,Principles of Marketing,LUBS1860,Fundamentals of Marketing,University of Leeds,"England, UK"
MGCR,Equivalent,MGCR352,Principles of Marketing,LUBS2160,Principles of Marketing,University of Leeds,"England, UK"
MGCR,Equivalent,MGCR352,Principles of Marketing,LUBS2850,Marketing,University of Leeds,"England, UK"
MGCR,Equivalent,MGCR352,Principles of Marketing,4QQMB103,Principles of Marketing,University of London - King's College London,"England, UK"
MGCR,Equivalent,MGCR352,Principles of Marketing,IB152,Foundations of Marketing,University of Warwick,"England, UK"
MGCR,Not Equivalent,MGCR352,Principles of Marketing,IB2B60,Marketing Research,University of Warwick,"England, UK"
MGCR,Not Equivalent,MGCR352,Principles of Marketing,DDRO25A84,"Introductory Perspectives in Fashion Law: Topics of ethics, sustainability and labour",Institut d'Études Politiques (Sciences Po) (ALL CAMPUSES),France
MGCR,Equivalent,MGCR352,Principles of Marketing,DECO25A10,Marketing and Customer Relationship Management,Institut d'Études Politiques (Sciences Po) (ALL CAMPUSES),France
MGCR,Equivalent,MGCR352,Principles of Marketing,SPG12V63,Marketing,University of Strasbourg,France
MGCR,Equivalent,MGCR352,Principles of Marketing,MARKETING1,Marketing et Négociation,Université Paris-Est Créteil Val de Marne (UPEC)(Post2010),France
MGCR,Equivalent,MGCR352,Principles of Marketing,GEM1MKG008,Marketing,École des Hautes Études Commerciales (HEC Paris),France
MGCR,Equivalent,MGCR352,Principles of Marketing,WI000820VO,Marketing,Munich University of Technology,Germany
MGCR,Equivalent,MGCR352,Principles of Marketing,MK2030,Introduction to Marketing - Level 4,"Deree College, The American College of Greece",Greece
MGCR,Equivalent,MGCR352,Principles of Marketing,MKTG2010,Marketing Management,The Chinese University of Hong Kong,"Hong Kong, SAR"
MGCR,Equivalent,MGCR352,Principles of Marketing,APSS352,Marketing Strategies and Skills in Human Services,The Hong Kong Polytechnic University,"Hong Kong, SAR"
MGCR,Equivalent,MGCR352,Principles of Marketing,MM2711,Introduction to Marketing,The Hong Kong Polytechnic University,"Hong Kong, SAR"
