code,subject,title,credits,prereq_text,prereq_codes,coreq_text,coreq_codes,restrictions,description
ECSE461,ECSE,Electric Machinery,3,,,,,Not open to students in Electrical Engineering,
ECSE463,ECSE,Electric Power Generation,3,ECSE 362 or ECSE 461,ECSE362 ECSE461,,,,
ECSE464,ECSE,Power Systems Analysis,3,ECSE 362 (3-1-5) This course is coordinated by the Electric Power Engineering Institute,ECSE362,,,,
ECSE465,ECSE,Power Electronic Systems,3,ECSE 331 or ECSE 330 and ECSE 361 or ECSE 362 This course is offered by the Power Engineering Institute,ECSE331 ECSE330 ECSE361 ECSE362,,,,
ECSE466,ECSE,Réseaux de distribution,3,ECSE 361 or ECSE 362,ECSE361 ECSE362,,,,
ECSE467,ECSE,Comportement des réseaux électriques,3,ECSE 464,ECSE464,,,,
ECSE468,ECSE,Electricité industrielle (Industrial Power Systems),3,ECSE 361 or ECSE 362 This course is offered by the Power Engineering Institute. Taught in French,ECSE361 ECSE362,,,,
ECSE469,ECSE,Protection des réseaux électriques,3,ECSE 464,ECSE464,,,,
ECSE470,ECSE,Electromechanical and Static Conversion Systems,4,ECSE 362 (3-4-5),ECSE362,,,,
ECSE472,ECSE,Fundamentals of Circuit Simulation and Modelling,3,ECSE 206 or ECSE 316,ECSE206 ECSE316,,,Not open to students who are taking or have taken ECSE 597,
ECSE478D1,ECSE,Electrical Engineering Honours Thesis,3,CCOM 206 OR WCOM 206 and at least 42 Departmental credits Students must register for both ECSE 478D1 and ECSE 478D2 No credit will be given for this course unless both ECSE 478D1 and ECSE 478D2 are successfully completed in consecutive terms,CCOM206 WCOM206 ECSE478D2,,,,
ECSE478D2,ECSE,Electrical Engineering Honours Thesis,3,ECSE 478D1 No credit will be given for this course unless both ECSE 478D1 and ECSE 478D2 are successfully completed in consecutive terms,ECSE478D1,,,,
ECSE478N1,ECSE,Electrical Engineering Honours Thesis,3,CCOM 206 OR WCOM 206 and at least 42 Departmental credits Students must also register for ECSE 478N2 No credit will be given for this course unless both ECSE 478N1 and ECSE 478N2 are successfully completed in a twelve month period,CCOM206 WCOM206 ECSE478N2,,,,
ECSE478N2,ECSE,Electrical Engineering Honours Thesis,3,ECSE 478N1 No credit will be given for this course unless both ECSE 478N1 and ECSE 478N2 are successfully completed in a twelve month period,ECSE478N1,,,,
